player_id,card_minutes,yellow_cards,red_cards,behavior_cards,foul_cards,right_wing,right_center_forward,right_midfield,right_center_midfield,right_wing_back,right_back,center_defensive_midfield,right_defensive_midfield,right_center_back,left_back,left_center_back,center_back,left_center_midfield,left_defensive_midfield,center_forward,center_attacking_midfield,left_wing,left_wing_back,left_midfield,left_center_forward,goalkeeper,left_attacking_midfield,right_attacking_midfield,center_midfield,secondary_striker
20725,[],0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,5,0,0,0,0,0
23465,[93],1,0,0,1,0,0,0,0,0,1,0,0,0,8,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25453,"[81, 22]",2,0,0,2,2,1,5,0,0,0,0,2,0,0,0,0,0,0,10,2,1,0,4,2,0,0,0,0,0
32590,[],0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33005,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35648,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
10088,[70],1,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10179,[],0,0,0,0,17,0,4,1,3,24,1,0,0,0,2,0,1,0,1,0,5,0,1,0,0,0,0,0,0
10192,[91],1,0,0,1,7,1,0,10,0,1,2,1,1,0,0,0,7,1,1,9,6,0,2,1,0,0,0,1,0
15615,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
15621,[],0,0,0,0,0,0,0,1,0,2,0,0,4,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0
17524,"[43, 2, 58, 31]",4,0,0,4,0,0,0,0,0,0,0,0,3,0,38,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18998,"[85, 51, 23]",3,0,0,3,0,0,0,0,0,2,0,0,0,25,5,0,0,0,1,0,0,0,1,1,0,0,0,0,0
4649,"[38, 34]",2,0,0,2,0,0,0,0,0,18,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10651,[],0,0,0,0,0,0,0,0,0,2,0,0,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13857,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
15559,"[67, 53]",2,0,0,2,13,2,3,0,0,1,0,0,0,0,1,0,1,0,27,4,3,0,1,0,0,0,1,0,0
15570,"[48, 46, 80, 28, 63]",5,0,1,4,30,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,22,0,5,0,0,2,1,0,0
15571,[],0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,1,4,6,0,0,0,0,0,0
15574,[],0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
15575,"[14, 32, 42]",3,0,0,3,0,0,0,0,0,0,0,0,5,4,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0
15576,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
15578,"[83, 92, 66, 48, 75]",5,0,0,5,0,0,3,0,5,19,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15579,"[38, 90]",2,0,0,2,4,1,0,2,0,0,0,4,0,0,0,0,6,3,3,17,11,0,5,1,0,3,2,0,1
16386,"[73, 68, 55]",3,0,1,2,4,2,0,5,0,0,3,7,0,0,0,0,12,2,1,24,3,1,2,1,0,0,2,0,0
